,Speakers,Language,Lang_39,Lang_Code,State,County
0,555,Jamaican Creole,00,601,17,031
1,,Krio,00,602,17,031
2,50,Pidgin,00,604,17,031
3,17305,German,00,607,17,031
4,1154,Yiddish,07,609,17,031
5,1550,Dutch,00,610,17,031
6,115,Afrikaans,00,611,17,031
7,930,Swedish,00,614,17,031
8,325,Danish,00,615,17,031
9,260,Norwegian,00,616,17,031
10,25,Icelandic,00,617,17,031
11,22651,Italian,04,619,17,031
12,18265,French,00,620,17,031
13,315,Patois,00,622,17,031
14,4098,French Creole,03,623,17,031
15,,Cajun,00,624,17,031
16,991495,Spanish,00,625,17,031
17,,Catalonian,00,626,17,031
18,3180,Portuguese,00,629,17,031
19,12290,Romanian,00,631,17,031
20,1150,Irish Gaelic,00,635,17,031
21,75,Scottic Gaelic,00,636,17,031
22,23031,Greek,10,637,17,031
23,5055,Albanian,00,638,17,031
24,26215,Russian,11,639,17,031
25,40,Bielorussian,00,640,17,031
26,9475,Ukrainian,00,641,17,031
27,1850,Czech,00,642,17,031
28,141431,Polish,12,645,17,031
29,1445,Slovak,00,646,17,031
30,8420,Bulgarian,00,647,17,031
31,855,Macedonian,00,648,17,031
32,9295,Serbocroatian,00,649,17,031
33,3335,Croatian,00,650,17,031
34,9985,Serbian,00,651,17,031
35,245,Slovene,00,652,17,031
36,6970,Lithuanian,00,653,17,031
37,945,Latvian,00,654,17,031
38,2222,Armenian,15,655,17,031
39,3342,Persian,16,656,17,031
40,100,Pashto,00,657,17,031
41,95,Kurdish,00,658,17,031
42,30,Balochi,00,659,17,031
43,995,India n.e.c.,00,662,17,031
44,20180,Hindi,17,663,17,031
45,3545,Bengali,00,664,17,031
46,2525,Panjabi,00,665,17,031
47,1770,Marathi,00,666,17,031
48,23250,Gujarati,18,667,17,031
49,,Bihari,00,668,17,031
50,,Rajasthani,00,669,17,031
51,185,Oriya,00,670,17,031
52,22583,Urdu,19,671,17,031
53,95,Assamese,00,672,17,031
54,65,Kashmiri,00,673,17,031
55,1580,Nepali,00,674,17,031
56,245,Sindhi,00,675,17,031
57,165,Pakistan n.e.c.,00,676,17,031
58,200,Sinhalese,00,677,17,031
59,90,Romany,00,678,17,031
60,265,Finnish,00,679,17,031
61,105,Estonian,00,680,17,031
62,1518,Hungarian,35,682,17,031
63,105,Kirghiz,00,687,17,031
64,,Karachay,00,688,17,031
65,240,Uighur,00,689,17,031
66,55,Azerbaijani,00,690,17,031
67,2465,Turkish,00,691,17,031
68,,Turkmen,00,692,17,031
69,1655,Mongolian,00,694,17,031
70,105,Tungus,00,695,17,031
71,115,Caucasian,00,696,17,031
72,,Dravidian,00,698,17,031
73,35,Gondi,00,700,17,031
74,5275,Telugu,00,701,17,031
75,1140,Kannada,00,702,17,031
76,8530,Malayalam,00,703,17,031
77,4220,Tamil,00,704,17,031
78,,Munda,00,706,17,031
79,39185,Chinese,00,708,17,031
80,,Hakka,00,709,17,031
81,11355,Cantonese,00,711,17,031
82,5970,Mandarin,00,712,17,031
83,,Fuchow,00,713,17,031
84,1010,Formosan,00,714,17,031
85,240,Tibetan,00,716,17,031
86,1255,Burmese,00,717,17,031
87,70,Karen,00,718,17,031
88,,Kachin,00,719,17,031
89,4734,Thai,27,720,17,031
90,55,Hmong,26,722,17,031
91,7432,Japanese,23,723,17,031
92,31321,Korean,24,724,17,031
93,1009,Laotian,28,725,17,031
94,2103,"Mon-Khmer, Cambodian",25,726,17,031
95,10905,Vietnamese,29,728,17,031
96,545,Indonesian,00,732,17,031
97,,Achinese,00,733,17,031
98,810,Malay,00,739,17,031
99,46510,Tagalog,31,742,17,031
100,580,Bisayan,00,743,17,031
101,485,Sebuano,00,744,17,031
102,40,Pangasinan,00,745,17,031
103,225,Ilocano,00,746,17,031
104,110,Pampangan,00,748,17,031
105,240,Chamorro,00,752,17,031
106,,Melanesian,00,765,17,031
107,,Samoan,00,767,17,031
108,,Marquesan,00,772,17,031
109,41460,Arabic,36,777,17,031
110,4843,Hebrew,37,778,17,031
111,13265,Syriac,00,779,17,031
112,3185,Amharic,00,780,17,031
113,,Berber,00,781,17,031
114,395,Chadic,00,782,17,031
115,1065,Cushite,00,783,17,031
116,385,Sudanic,00,784,17,031
117,40,Nilotic,00,785,17,031
118,955,Swahili,00,791,17,031
119,875,Bantu,00,792,17,031
120,280,Mande,00,793,17,031
121,400,Fulani,00,794,17,031
122,12400,"Kru, Ibo, Yoruba",00,796,17,031
123,165,Efik,00,797,17,031
124,465,African,00,799,17,031
125,35,Cree,00,811,17,031
126,20,Menomini,00,815,17,031
127,35,Kuchin,00,852,17,031
128,38,Navajo,33,864,17,031
129,,Yuma,00,894,17,031
130,75,Dakota,00,907,17,031
131,,Winnebago,00,909,17,031
132,,Kansa,00,910,17,031
133,,Choctaw,00,916,17,031
134,,Oneida,00,927,17,031
135,,Cherokee,00,933,17,031
136,,Caddo,00,935,17,031
137,,Tiwa,00,960,17,031
138,,American Indian,00,966,17,031
139,,Mayan languages,00,968,17,031
140,175,Arawakian,00,974,17,031
141,50,Uncodable,00,996,17,031
