,Speakers,Language,Lang_Code,State,County
0,555,Jamaican Creole,601,17,031
1,,Krio,602,17,031
2,50,Pidgin,604,17,031
3,17305,German,607,17,031
4,1550,Dutch,610,17,031
5,115,Afrikaans,611,17,031
6,930,Swedish,614,17,031
7,325,Danish,615,17,031
8,260,Norwegian,616,17,031
9,25,Icelandic,617,17,031
10,18265,French,620,17,031
11,315,Patois,622,17,031
12,,Cajun,624,17,031
13,991495,Spanish,625,17,031
14,,Catalonian,626,17,031
15,3180,Portuguese,629,17,031
16,12290,Romanian,631,17,031
17,1150,Irish Gaelic,635,17,031
18,75,Scottic Gaelic,636,17,031
19,5055,Albanian,638,17,031
20,40,Bielorussian,640,17,031
21,9475,Ukrainian,641,17,031
22,1850,Czech,642,17,031
23,1445,Slovak,646,17,031
24,8420,Bulgarian,647,17,031
25,855,Macedonian,648,17,031
26,9295,Serbocroatian,649,17,031
27,3335,Croatian,650,17,031
28,9985,Serbian,651,17,031
29,245,Slovene,652,17,031
30,6970,Lithuanian,653,17,031
31,945,Latvian,654,17,031
32,100,Pashto,657,17,031
33,95,Kurdish,658,17,031
34,30,Balochi,659,17,031
35,995,India n.e.c.,662,17,031
36,3545,Bengali,664,17,031
37,2525,Panjabi,665,17,031
38,1770,Marathi,666,17,031
39,,Bihari,668,17,031
40,,Rajasthani,669,17,031
41,185,Oriya,670,17,031
42,95,Assamese,672,17,031
43,65,Kashmiri,673,17,031
44,1580,Nepali,674,17,031
45,245,Sindhi,675,17,031
46,165,Pakistan n.e.c.,676,17,031
47,200,Sinhalese,677,17,031
48,90,Romany,678,17,031
49,265,Finnish,679,17,031
50,105,Estonian,680,17,031
51,105,Kirghiz,687,17,031
52,,Karachay,688,17,031
53,240,Uighur,689,17,031
54,55,Azerbaijani,690,17,031
55,2465,Turkish,691,17,031
56,,Turkmen,692,17,031
57,1655,Mongolian,694,17,031
58,105,Tungus,695,17,031
59,115,Caucasian,696,17,031
60,,Dravidian,698,17,031
61,35,Gondi,700,17,031
62,5275,Telugu,701,17,031
63,1140,Kannada,702,17,031
64,8530,Malayalam,703,17,031
65,4220,Tamil,704,17,031
66,,Munda,706,17,031
67,39185,Chinese,708,17,031
68,,Hakka,709,17,031
69,11355,Cantonese,711,17,031
70,5970,Mandarin,712,17,031
71,,Fuchow,713,17,031
72,1010,Formosan,714,17,031
73,240,Tibetan,716,17,031
74,1255,Burmese,717,17,031
75,70,Karen,718,17,031
76,,Kachin,719,17,031
77,545,Indonesian,732,17,031
78,,Achinese,733,17,031
79,810,Malay,739,17,031
80,580,Bisayan,743,17,031
81,485,Sebuano,744,17,031
82,40,Pangasinan,745,17,031
83,225,Ilocano,746,17,031
84,110,Pampangan,748,17,031
85,240,Chamorro,752,17,031
86,,Melanesian,765,17,031
87,,Samoan,767,17,031
88,,Marquesan,772,17,031
89,13265,Syriac,779,17,031
90,3185,Amharic,780,17,031
91,,Berber,781,17,031
92,395,Chadic,782,17,031
93,1065,Cushite,783,17,031
94,385,Sudanic,784,17,031
95,40,Nilotic,785,17,031
96,955,Swahili,791,17,031
97,875,Bantu,792,17,031
98,280,Mande,793,17,031
99,400,Fulani,794,17,031
100,12400,"Kru, Ibo, Yoruba",796,17,031
101,165,Efik,797,17,031
102,465,African,799,17,031
103,35,Cree,811,17,031
104,20,Menomini,815,17,031
105,35,Kuchin,852,17,031
106,,Yuma,894,17,031
107,75,Dakota,907,17,031
108,,Winnebago,909,17,031
109,,Kansa,910,17,031
110,,Choctaw,916,17,031
111,,Oneida,927,17,031
112,,Cherokee,933,17,031
113,,Caddo,935,17,031
114,,Tiwa,960,17,031
115,,American Indian,966,17,031
116,,Mayan languages,968,17,031
117,175,Arawakian,974,17,031
118,50,Uncodable,996,17,031
