fips,county,population,no_french,pct_french,no_spanish,pct_spanish,no_chinese,pct_chinese
02020,"Anchorage Municipality, AK",300950,1035,0.3439109486625685,12635,4.198371822561888,740,0.24588802126599102
04013,"Maricopa County, AZ",4009412,10680,0.26637322380438827,733630,18.29769552243571,13750,0.3429430549916047
04017,"Navajo County, AZ",107322,85,0.07920090941279515,5885,5.483498257579993,0,0.0
04019,"Pima County, AZ",996554,3230,0.32411690686104316,217115,21.786576542766372,4625,0.4640992861400386
06001,"Alameda County, CA",1578891,6915,0.43796563537318284,241150,15.273378592949102,69165,4.380606387648038
06013,"Contra Costa County, CA",1094205,4235,0.38703899177941975,176075,16.091591612175048,17545,1.603447251657596
06019,"Fresno County, CA",955272,855,0.08950330377107253,286750,30.01762848696497,3195,0.3344597140919026
06029,"Kern County, CA",864124,920,0.10646620160995413,289910,33.54958316167587,870,0.1006799950007175
06037,"Los Angeles County, CA",10017068,38235,0.3816985169712335,3653910,36.4768413272227,174385,1.7408786682889643
06053,"Monterey County, CA",428826,1115,0.26001221940833813,177465,41.38391795273608,1365,0.3183109233115529
06059,"Orange County, CA",3114363,8470,0.27196572782299305,757660,24.32792837572242,38385,1.232515284827106
06061,"Placer County, CA",367309,1550,0.42198802643006295,22685,6.175998954558696,1250,0.3403129245403734
06065,"Riverside County, CA",2292507,4955,0.21613892563904932,683845,29.829570858453213,8945,0.39018419572982765
06067,"Sacramento County, CA",1462131,3695,0.2527133341677319,175615,12.010893688732406,19540,1.3364055614715782
06071,"San Bernardino County, CA",2088371,2910,0.1393430573399075,641165,30.7016808794989,11960,0.5726951772458054
06073,"San Diego County, CA",3211252,9135,0.2844684876801945,725295,22.58605054975443,27495,0.8562081082394032
06075,"San Francisco County, CA",837442,8810,1.0520131543438231,90720,10.832989030882139,72135,8.613730861361145
06077,"San Joaquin County, CA",704379,890,0.12635243242629324,166930,23.698889376315876,4395,0.6239538657455715
06081,"San Mateo County, CA",747373,3975,0.5318629385862214,138645,18.550977891896014,26745,3.5785344132046517
06083,"Santa Barbara County, CA",435697,1740,0.3993601057615728,132350,30.376614941117335,2310,0.5301849679938122
06085,"Santa Clara County, CA",1862041,9060,0.48656286300892404,320730,17.224647577577507,72550,3.8962622197900045
06095,"Solano County, CA",424788,890,0.20951627635432263,64920,15.282917596542275,1825,0.42962607229959415
06097,"Sonoma County, CA",495025,2015,0.4070501489823746,89065,17.99202060501995,1365,0.2757436493106409
06099,"Stanislaus County, CA",525491,800,0.15223857306785463,150590,28.657008397860285,1260,0.23977575258187106
06111,"Ventura County, CA",839620,2725,0.32455158285891234,232030,27.635120649817775,5135,0.6115861937543174
06113,"Yolo County, CA",204593,605,0.29570904185382685,40085,19.592556930100248,3385,1.654504308554056
08005,"Arapahoe County, CO",607070,2920,0.4809988963381488,66570,10.965786482613208,2440,0.4019305846113298
08031,"Denver County, CO",649495,2755,0.42417570574061386,116740,17.97396438771661,2100,0.32332812415799966
08041,"El Paso County, CO",655044,1965,0.2999798486819206,40825,6.232405762055679,1340,0.20456641080599164
09001,"Fairfield County, CT",939904,7090,0.7543323573471333,127025,13.514678094784148,5690,0.6053809750783058
09003,"Hartford County, CT",898272,10170,1.1321737736453992,105245,11.716384346834811,4285,0.4770270029567881
09009,"New Haven County, CT",862287,5310,0.6158042507888905,97775,11.339032131993177,5525,0.6407379445590621
10003,"New Castle County, DE",549684,2545,0.4629932834137432,37545,6.830287947256969,4535,0.825019465729401
11001,"District of Columbia, DC",646449,8360,1.2932187999362672,44455,6.876799252531909,2665,0.41225216529068803
12011,"Broward County, FL",1838844,23240,1.2638374979062932,390650,21.24432523911762,5885,0.32003802388892155
12021,"Collier County, FL",339642,2700,0.7949546875828079,72055,21.214985190288598,635,0.1869615654129937
12031,"Duval County, FL",885855,2900,0.32736734567169573,47970,5.415107438576291,1760,0.198678113235236
12057,"Hillsborough County, FL",1291578,4295,0.33253895622254326,236685,18.325257940287,3160,0.2446619561497641
12071,"Lee County, FL",661115,2870,0.43411509344062676,92985,14.06487524863299,725,0.10966322046845102
12086,"Miami-Dade County, FL",2617176,14965,0.5717995274295653,1526290,58.31820252057943,6125,0.23403087908493736
12095,"Orange County, FL",1225267,5050,0.4121550649776743,259340,21.165998921051493,4720,0.38522215974150936
12099,"Palm Beach County, FL",1372171,11580,0.8439181413978286,213670,15.571674375861317,3605,0.2627223574904294
12103,"Pinellas County, FL",929048,5355,0.576396483281811,52800,5.683237034039145,2045,0.22011779800397827
13067,"Cobb County, GA",717190,5140,0.7166859549073468,73020,10.18140241776935,3485,0.48592423207239366
13089,"DeKalb County, GA",713340,4465,0.6259287296380408,56790,7.961140550088317,4335,0.6077046008915805
13121,"Fulton County, GA",984293,7035,0.714726204493987,63630,6.464538506318748,7190,0.7304735480187302
13135,"Gwinnett County, GA",859304,5835,0.6790379190600765,137855,16.042634504203402,7040,0.8192676864066732
15001,"Hawaii County, HI",190821,625,0.3275320850430508,4440,2.326787932145833,250,0.13101283401722033
15003,"Honolulu County, HI",983429,2730,0.2776001114467847,16980,1.7266116821854958,16790,1.7072915279089798
15009,"Maui County, HI",160202,740,0.4619168300021223,2750,1.7165828141970763,210,0.1310845058114131
17031,"Cook County, IL",5240700,18265,0.3485221439883985,991495,18.919132940256073,39185,0.7477054591943824
17043,"DuPage County, IL",932126,2705,0.2901968188850005,92650,9.939643352937264,8225,0.8823914363508797
17089,"Kane County, IL",523643,1210,0.23107346035371426,122715,23.434859245707475,1115,0.21293132916891852
17097,"Lake County, IL",703019,2055,0.29231073413378583,112480,15.999567579254615,5210,0.7410895011372381
17197,"Will County, IL",682829,1795,0.262876942836347,75030,10.98810976100898,2635,0.38589456511073783
18097,"Marion County, IN",928281,3765,0.40558839403154867,70390,7.582833215373362,3110,0.3350278633301769
19153,"Polk County, IA",451677,1005,0.22250413459175472,24515,5.4275511039968825,1595,0.35312845241178986
20091,"Johnson County, KS",566933,1690,0.2980951893786391,25805,4.551684237819989,2800,0.49388552086401744
21111,"Jefferson County, KY",756832,2300,0.3038983552492495,26970,3.5635385395966344,1715,0.22660246924020128
22051,"Jefferson Parish, LA",434767,2785,0.6405729965705769,43015,9.893805187606235,1720,0.3956142025498715
24003,"Anne Arundel County, MD",555743,2260,0.40666279197398797,25880,4.6568287859676145,1440,0.2591125754170543
24005,"Baltimore County, MD",823015,5250,0.6378984587158193,27710,3.3668888173362577,4205,0.5109262893142895
24027,"Howard County, MD",304580,2460,0.8076695777792371,13465,4.420841814958303,5775,1.8960535819817455
24031,"Montgomery County, MD",1016677,21660,2.130470149319794,144015,14.165265861232228,26460,2.6025964981995267
24033,"Prince George's County, MD",890081,9265,1.040916500857787,93290,10.481068576904798,3830,0.43029791670645706
24510,"Baltimore city, MD",622104,3700,0.5947558607564009,21495,3.4552100613402263,1910,0.307022620012088
25005,"Bristol County, MA",552780,4290,0.7760772821013785,22450,4.061290205868519,1170,0.2116574405731032
25009,"Essex County, MA",762550,6220,0.8156842174283653,103580,13.583371582191331,3320,0.4353812864730182
25013,"Hampden County, MA",467319,3725,0.7971000537106344,71750,15.35353794731222,1125,0.2407349155501916
25017,"Middlesex County, MA",1552802,16425,1.0577652527495456,79395,5.113015052788443,27100,1.7452321673980327
25021,"Norfolk County, MA",687802,6000,0.8723440757659908,17165,2.4956310100872052,16000,2.326250868709309
25023,"Plymouth County, MA",501915,2390,0.47617624498172,11850,2.3609575326499503,790,0.15739716884333005
25025,"Suffolk County, MA",755503,7845,1.0383810520937706,125000,16.545268516471808,14645,1.9384436593898369
25027,"Worcester County, MA",809106,9545,1.1796970977844683,57540,7.111552750813861,4165,0.5147656796513683
26099,"Macomb County, MI",854769,2065,0.24158573836907982,11055,1.2933318826489963,1950,0.22813181105070493
26125,"Oakland County, MI",1231640,4685,0.38038712610827835,28525,2.3160176675002435,8200,0.6657789613848202
26161,"Washtenaw County, MI",354240,1610,0.4544941282746161,8825,2.4912488708220417,5365,1.5145099367660344
26163,"Wayne County, MI",1775273,5160,0.29065952109900844,64395,3.6273294304594277,4480,0.25235555320223985
27037,"Dakota County, MN",408509,1380,0.3378138547743134,17280,4.230016964130534,1470,0.3598451931291599
27053,"Hennepin County, MN",1198778,5535,0.4617201850551145,63050,5.259522613861782,6060,0.5055147825535671
27123,"Ramsey County, MN",526714,2225,0.4224303891675558,25290,4.801467209908983,3520,0.6682943684808074
29189,"St. Louis County, MO",1001444,3265,0.3260292138152508,20480,2.0450469522010217,5695,0.5686788277726962
32003,"Clark County, NV",2027868,5950,0.2934116027275937,418475,20.636205117887357,15495,0.7641029889519436
32031,"Washoe County, NV",433731,1265,0.29165542698123953,65870,15.186832391505334,1730,0.39886473413244616
33011,"Hillsborough County, NH",403985,9465,2.3429087713652734,15865,3.9271260071537304,1620,0.40100498780895333
34001,"Atlantic County, NJ",275862,710,0.2573750643437661,37970,13.764128441032112,2480,0.8990002247500563
34003,"Bergen County, NJ",925328,3335,0.36041274013106706,123185,13.312576729548873,10225,1.1050135735652655
34005,"Burlington County, NJ",450838,1500,0.3327137464011463,19160,4.249863587363976,1400,0.31053282997440323
34007,"Camden County, NJ",512854,1685,0.3285535454534819,56100,10.938785697293966,3420,0.6668564542735359
34013,"Essex County, NJ",789565,8000,1.0132161380000382,133925,16.961871410206886,6035,0.7643449241037787
34017,"Hudson County, NJ",660282,3580,0.5421925783225955,233305,35.33414510769641,6590,0.9980584053480179
34021,"Mercer County, NJ",370414,2300,0.6209268548165026,45015,12.152618421549942,4975,1.3430917837878698
34023,"Middlesex County, NJ",828919,1945,0.23464295063812024,117715,14.201025673196055,15725,1.8970490482182218
34025,"Monmouth County, NJ",629672,1770,0.2810987307677648,43175,6.85674446378432,5680,0.9020569439327142
34027,"Morris County, NJ",499397,2025,0.405489019757828,47375,9.486440647420789,7375,1.4767809978834474
34029,"Ocean County, NJ",583414,1320,0.22625442653073116,30620,5.248417076038628,775,0.1328387731525126
34031,"Passaic County, NJ",505672,920,0.1819361166922432,157475,31.14172823490326,1490,0.29465740638200255
34035,"Somerset County, NJ",330585,1195,0.3614804059470333,35250,10.662915740278597,7450,2.2535807734773208
34039,"Union County, NJ",548256,3040,0.554485495826767,131760,24.032568727018035,2770,0.5052384287632056
35001,"Bernalillo County, NM",674221,1930,0.2862562868851608,160920,23.867544914797968,1550,0.22989494542590633
35045,"San Juan County, NM",126503,205,0.16205149284997195,12025,9.505703422053232,45,0.03557227891828652
36001,"Albany County, NY",306945,2075,0.6760168759875548,9785,3.187867533271433,2835,0.9236182377950448
36005,"Bronx County, NY",1418733,12140,0.8556930726218394,600930,42.35680709478105,4445,0.31330771892949555
36029,"Erie County, NY",919866,3935,0.42777969834736795,27950,3.0384860403580523,3550,0.38592577614565604
36047,"Kings County, NY",2592149,19415,0.7489924383204823,398265,15.364278828107489,91845,3.543199098508612
36055,"Monroe County, NY",749606,2900,0.38686990232201984,37010,4.937260374116536,3830,0.5109350778942537
36059,"Nassau County, NY",1352146,7155,0.5291588334395841,155215,11.479159794874223,13375,0.989168329455547
36061,"New York County, NY",1626159,34560,2.125253434627241,346085,21.282359228095164,54690,3.363139766775573
36067,"Onondaga County, NY",468387,1895,0.4045799733980661,13185,2.814979920450397,2475,0.5284092000845455
36071,"Orange County, NY",375592,1380,0.36741996634646107,46600,12.407080023003685,1390,0.37008242987071077
36081,"Queens County, NY",2296175,13075,0.5694252398009734,509025,22.16838873343713,120505,5.248075603993598
36085,"Richmond County, NY",472621,1770,0.3745072690379818,46700,9.88106749382698,8270,1.749816449120966
36087,"Rockland County, NY",320903,1705,0.5313132005621637,37820,11.785492812469812,2180,0.679333007170391
36103,"Suffolk County, NY",1499738,5540,0.3693978548253095,177830,11.857404426639853,8400,0.5600978304210469
36119,"Westchester County, NY",968802,8620,0.8897586916624862,171005,17.65118156238323,5875,0.6064190618929358
37081,"Guilford County, NC",506610,2390,0.47176328931525235,28325,5.591085845127416,1830,0.3612246106472434
37119,"Mecklenburg County, NC",990977,4685,0.4727657655021257,93480,9.433114996614453,3060,0.30878617768121763
37183,"Wake County, NC",974289,5235,0.5373149034834633,73105,7.503420443010237,6630,0.6804962387956757
39035,"Cuyahoga County, OH",1263154,3210,0.2541257835544993,41840,3.3123435463926016,7500,0.5937518307348114
39049,"Franklin County, OH",1212263,5715,0.4714323542003674,41950,3.4604702114970105,7205,0.5943429767302969
39061,"Hamilton County, OH",804520,3755,0.46673793069159253,18530,2.3032367125739572,1855,0.23057226669318354
40109,"Oklahoma County, OK",755245,1240,0.16418513197704057,81475,10.78789002244305,2340,0.3098332329244152
